"infid"	"nearfid"	"dist"	"reserve"	"veg"	"animal"
"1"	0	294	4.66207926633	"Googong"	"Grassland"	2282
"2"	0	295	3.12762240276	"Googong"	"Grassland"	2282
"3"	1	294	42.6958748521	"Googong"	"Grassland"	2282
"4"	1	295	3.21435930651	"Googong"	"Grassland"	2282
"5"	2	294	44.1838597791	"Googong"	"Grassland"	2262
"6"	2	295	44.2165578995	"Googong"	"Grassland"	2262
"7"	3	294	88.923022972	"Googong"	"Grassland"	2282
"8"	3	295	88.9243052332	"Googong"	"Grassland"	2282
"9"	4	294	26.3453037348	"Googong"	"Grassland"	2262
"10"	4	295	27.0384899061	"Googong"	"Grassland"	2262
"11"	5	294	41.4774062255	"Googong"	"Grassland"	2262
"12"	5	295	2.38064786605	"Googong"	"Grassland"	2262
"13"	6	294	18.0573796971	"Googong"	"Grassland"	2282
"14"	6	295	6.69319498266	"Googong"	"Grassland"	2282
"15"	7	294	15.8666825159	"Googong"	"Grassland"	2282
"16"	7	295	14.1615450569	"Googong"	"Grassland"	2282
"17"	8	295	2.41283204495	"Googong"	"Grassland"	2282
"18"	9	294	1.9117137363	"Googong"	"Grassland"	2282
"19"	9	295	21.2484730428	"Googong"	"Grassland"	2282
"20"	10	294	45.4850834827	"Googong"	"Grassland"	2262
"21"	10	295	15.3631372571	"Googong"	"Grassland"	2262
"22"	11	295	3.2480169263	"Googong"	"Grassland"	2282
"23"	12	294	40.4685323473	"Googong"	"Grassland"	2282
"24"	12	295	21.4992636968	"Googong"	"Grassland"	2282
"25"	13	294	23.0280327134	"Googong"	"Grassland"	2282
"26"	13	295	25.8273958364	"Googong"	"Grassland"	2282
"27"	14	294	4.18029802729	"Googong"	"Grassland"	2262
"28"	14	295	30.571177933	"Googong"	"Grassland"	2262
"29"	15	295	1.39967396586	"Googong"	"Grassland"	2262
"30"	16	295	0.62403954327	"Googong"	"Grassland"	2262
"31"	17	294	82.9353510692	"Googong"	"Grassland"	2282
"32"	17	295	92.853195465	"Googong"	"Grassland"	2282
"33"	18	294	75.443055054	"Googong"	"Grassland"	2282
"34"	18	295	89.1221753291	"Googong"	"Grassland"	2282
"35"	19	294	87.7317654555	"Googong"	"Grassland"	2282
"36"	20	294	1.135909171	"Googong"	"Grassland"	2262
"37"	20	295	37.4022024547	"Googong"	"Grassland"	2262
"38"	21	294	89.1258275505	"Googong"	"Grassland"	2282
"39"	22	294	36.4718952351	"Googong"	"Grassland"	2262
"40"	22	295	33.8968543693	"Googong"	"Grassland"	2262
"41"	23	295	25.9909070681	"Googong"	"Grassland"	2282
"42"	24	294	68.9818111754	"Googong"	"Grassland"	2262
"43"	24	295	32.030235387	"Googong"	"Grassland"	2262
"44"	25	294	43.5579357308	"Googong"	"Grassland"	2262
"45"	25	295	65.8781801861	"Googong"	"Grassland"	2262
"46"	26	295	10.4849918661	"Googong"	"Grassland"	2282
"47"	27	295	6.13099360976	"Googong"	"Grassland"	2282
"48"	28	294	16.0839703125	"Googong"	"Grassland"	2262
"49"	28	295	54.6591653615	"Googong"	"Grassland"	2262
"50"	29	294	14.0671409082	"Googong"	"Grassland"	2282
"51"	29	295	53.8862480907	"Googong"	"Grassland"	2282
"52"	30	295	12.6522472737	"Googong"	"Grassland"	2262
"53"	31	294	38.2666796515	"Googong"	"Grassland"	2282
"54"	31	295	43.7890866715	"Googong"	"Grassland"	2282
"55"	32	294	78.1704420619	"Googong"	"Grassland"	2282
"56"	33	294	38.5149204652	"Googong"	"Grassland"	2262
"57"	33	295	44.7776342224	"Googong"	"Grassland"	2262
"58"	34	294	60.0010144364	"Googong"	"Grassland"	2282
"59"	34	295	41.6596101503	"Googong"	"Grassland"	2282
"60"	35	295	26.623021174	"Googong"	"Grassland"	2262
"61"	36	295	17.477834309	"Googong"	"Grassland"	2262
"62"	37	295	21.0434675064	"Googong"	"Grassland"	2282
"63"	38	294	12.222647134	"Googong"	"Grassland"	2262
"64"	38	295	53.6743813378	"Googong"	"Grassland"	2262
"65"	39	294	86.0107437018	"Googong"	"Grassland"	2282
"66"	40	295	21.0588388092	"Googong"	"Grassland"	2262
"67"	41	294	87.1564087305	"Googong"	"Grassland"	2282
"68"	42	295	24.9025693323	"Googong"	"Grassland"	2262
"69"	43	295	57.9828603609	"Googong"	"Grassland"	2282
"70"	44	295	33.791343099	"Googong"	"Grassland"	2282
"71"	45	294	26.3629430484	"Googong"	"Grassland"	2282
"72"	45	295	59.3200727208	"Googong"	"Grassland"	2282
"73"	46	295	25.0713084533	"Googong"	"Grassland"	2282
"74"	47	295	41.4502480387	"Googong"	"Grassland"	2262
"75"	48	295	45.4538236975	"Googong"	"Grassland"	2282
"76"	49	294	44.2768172197	"Googong"	"Grassland"	2282
"77"	49	295	57.4029503714	"Googong"	"Grassland"	2282
"78"	50	295	41.9259036298	"Googong"	"Grassland"	2282
"79"	51	295	27.3920796369	"Googong"	"Grassland"	2282
"80"	52	295	18.4570333756	"Googong"	"Grassland"	2262
"81"	53	295	46.8236618188	"Googong"	"Grassland"	2282
"82"	54	295	32.8183148125	"Googong"	"Grassland"	2262
"83"	55	294	17.8593991237	"Googong"	"Grassland"	2282
"84"	55	295	67.5201791297	"Googong"	"Grassland"	2282
"85"	56	294	31.9777077469	"Googong"	"Grassland"	2282
"86"	56	295	65.2655292179	"Googong"	"Grassland"	2282
"87"	57	294	68.7405246029	"Googong"	"Grassland"	2262
"88"	57	295	58.4729083004	"Googong"	"Grassland"	2262
"89"	58	295	25.5500015025	"Googong"	"Grassland"	2282
"90"	59	295	49.9947703272	"Googong"	"Grassland"	2282
"91"	60	294	70.9407887465	"Googong"	"Grassland"	2262
"92"	60	295	61.9944990066	"Googong"	"Grassland"	2262
"93"	61	295	52.0964962984	"Googong"	"Grassland"	2282
"94"	62	294	34.1155829875	"Googong"	"Grassland"	2282
"95"	62	295	69.878679881	"Googong"	"Grassland"	2282
"96"	63	295	8.91375374457	"Googong"	"Grassland"	2282
"97"	64	295	59.9087854951	"Googong"	"Grassland"	2282
"98"	65	295	32.9886766294	"Googong"	"Grassland"	2282
"99"	66	295	45.4128719095	"Googong"	"Grassland"	2282
"100"	67	295	62.8737869921	"Googong"	"Grassland"	2282
"101"	68	294	1.89847075431	"Googong"	"Grassland"	2282
"102"	68	295	82.7196334411	"Googong"	"Grassland"	2282
"103"	69	294	77.2998141572	"Googong"	"Grassland"	2282
"104"	70	295	35.1785035254	"Googong"	"Grassland"	2262
"105"	71	294	88.3962835369	"Googong"	"Grassland"	2282
"106"	72	294	7.42089679853	"Googong"	"Grassland"	2262
"107"	72	295	90.5115717862	"Googong"	"Grassland"	2262
"108"	73	295	21.1937106735	"Googong"	"Grassland"	2282
"109"	74	294	18.6569705055	"Googong"	"Grassland"	2282
"110"	74	295	97.3032028914	"Googong"	"Grassland"	2282
"111"	75	295	73.7416122035	"Googong"	"Grassland"	2282
"112"	76	294	81.3106782296	"Googong"	"Grassland"	2282
"113"	77	295	74.0859294439	"Googong"	"Grassland"	2282
"114"	78	294	40.5995281484	"Googong"	"Grassland"	2282
"115"	78	295	88.5438175432	"Googong"	"Grassland"	2282
"116"	79	295	14.6397173202	"Googong"	"Grassland"	2282
"117"	80	295	61.844928809	"Googong"	"Grassland"	2262
"118"	81	294	61.3010789165	"Googong"	"Grassland"	2282
"119"	82	295	22.7121437728	"Googong"	"Grassland"	2282
"120"	83	295	69.9419734913	"Googong"	"Grassland"	2282
"121"	84	295	74.3709150896	"Googong"	"Grassland"	2282
"122"	85	295	16.9936326115	"Googong"	"Grassland"	2282
"123"	86	294	77.7328874165	"Googong"	"Grassland"	2282
"124"	87	295	15.5800981115	"Googong"	"Grassland"	2282
"125"	88	294	15.6341413491	"Googong"	"Grassland"	2262
"126"	88	295	98.4291615301	"Googong"	"Grassland"	2262
"127"	89	295	25.7148073135	"Googong"	"Grassland"	2282
"128"	90	294	44.5161874194	"Googong"	"Grassland"	2282
"129"	90	295	93.8167506621	"Googong"	"Grassland"	2282
"130"	91	294	30.0338289348	"Googong"	"Grassland"	2282
"131"	92	294	39.5181044598	"Googong"	"Grassland"	2282
"132"	92	295	95.5586894536	"Googong"	"Grassland"	2282
"133"	93	295	80.0467572457	"Googong"	"Grassland"	2282
"134"	94	295	62.5046619441	"Googong"	"Grassland"	2282
"135"	95	294	49.6583042251	"Googong"	"Grassland"	2282
"136"	96	295	43.1335116466	"Googong"	"Grassland"	2262
"137"	97	295	80.4347388566	"Googong"	"Grassland"	2282
"138"	98	294	21.8942949674	"Googong"	"Grassland"	2282
"139"	99	295	83.2684348798	"Googong"	"Grassland"	2282
"140"	100	295	67.227039294	"Googong"	"Grassland"	2282
"141"	101	295	12.3359089697	"Googong"	"Grassland"	2282
"142"	102	294	9.29826700738	"Googong"	"Grassland"	2282
"143"	103	295	23.1673960017	"Googong"	"Grassland"	2282
"144"	104	295	43.6272314122	"Googong"	"Grassland"	2282
"145"	105	294	24.4394179836	"Googong"	"Grassland"	2262
"146"	106	295	73.2601368924	"Googong"	"Grassland"	2282
"147"	107	295	22.2678581514	"Googong"	"Grassland"	2262
"148"	108	294	86.2245288309	"Googong"	"Grassland"	2282
"149"	109	295	89.8079799965	"Googong"	"Grassland"	2282
"150"	110	295	28.292757834	"Googong"	"Grassland"	2282
"151"	111	295	38.0918378092	"Googong"	"Grassland"	2282
"152"	112	295	65.9490457474	"Googong"	"Grassland"	2282
"153"	113	295	1.06183014242	"Googong"	"Grassland"	2282
"154"	114	294	1.95028209565	"Googong"	"Grassland"	2262
"155"	115	295	43.9074186106	"Googong"	"Grassland"	2282
"156"	116	295	34.2325921077	"Googong"	"Grassland"	2262
"157"	117	295	37.8904696822	"Googong"	"Grassland"	2282
"158"	118	295	69.3130135627	"Googong"	"Grassland"	2282
"159"	119	295	47.6674355992	"Googong"	"Grassland"	2282
"160"	120	295	78.4033322701	"Googong"	"Grassland"	2282
"161"	121	295	78.9952447222	"Googong"	"Grassland"	2262
"162"	122	294	0.29830720149	"Googong"	"Grassland"	2282
"163"	123	294	57.429257153	"Googong"	"Grassland"	2262
"164"	124	294	60.7418835171	"Googong"	"Grassland"	2282
"165"	125	295	66.930032996	"Googong"	"Grassland"	2282
"166"	126	294	73.3157951949	"Googong"	"Grassland"	2262
"167"	127	295	95.1593004419	"Googong"	"Grassland"	2282
"168"	128	294	17.0563457979	"Googong"	"Grassland"	2282
"169"	129	294	87.1272009899	"Googong"	"Grassland"	2282
"170"	130	294	18.285428256	"Googong"	"Grassland"	2282
"171"	131	294	80.0447163351	"Googong"	"Grassland"	2262
