IN_FID	NEAR_FID	NEAR_DIST	reserve	vegetation
0	280	80.18003047100	Lawson	Grassland
0	283	21.78113127800	Lawson	Grassland
1	277	48.76881107160	Lawson	Grassland
1	280	0.40924684440	Lawson	Grassland
1	281	61.55268899430	Lawson	Grassland
1	283	33.93212300640	Lawson	Grassland
2	281	32.10900001950	Lawson	Grassland
3	281	25.42685443950	Lawson	Grassland
3	282	54.54342425120	Lawson	Grassland
4	281	75.58452725680	Lawson	Grassland
5	283	42.09852544930	Lawson	Open Woodland
6	276	26.26992654380	Lawson	Grassland
6	277	77.70335098810	Lawson	Grassland
7	281	89.41407475150	Lawson	Grassland
7	282	25.18931616940	Lawson	Grassland
8	278	74.38045887230	Lawson	Woodland
8	279	2.33692888436	Lawson	Woodland
9	281	83.37600980860	Lawson	Grassland
9	282	25.04783767300	Lawson	Grassland
10	279	75.00476940240	Lawson	Woodland
11	281	34.53908266790	Lawson	Grassland
11	283	99.35954218890	Lawson	Grassland
12	280	48.13786601170	Lawson	Open Woodland
12	283	47.39315335890	Lawson	Open Woodland
13	281	48.11281462690	Lawson	Open Woodland
14	280	12.67833772540	Lawson	Open Woodland
14	283	39.85362658060	Lawson	Open Woodland
15	281	90.15495009030	Lawson	Open Woodland
15	282	57.79724271610	Lawson	Open Woodland
16	280	17.86678873220	Lawson	Grassland
16	283	42.33129385450	Lawson	Grassland
17	282	58.51120947750	Lawson	Open Woodland
18	276	53.86525239710	Lawson	Grassland
19	281	65.58460030830	Lawson	Grassland
19	282	94.93576476340	Lawson	Grassland
20	281	53.14677446170	Lawson	Open Woodland
21	279	45.52401382120	Lawson	Woodland
22	282	43.58912111910	Lawson	Grassland
23	281	97.18767513370	Lawson	Open Woodland
24	278	51.14464411370	Lawson	Grassland
25	281	5.56266290143	Lawson	Open Woodland
26	276	70.67454773530	Lawson	Grassland
27	281	40.05394239460	Lawson	Grassland
28	278	7.40729225925	Lawson	Woodland
29	278	39.40897469000	Lawson	Grassland
30	280	92.44523589250	Lawson	Grassland
30	281	3.52207870949	Lawson	Grassland
30	283	53.60539665900	Lawson	Grassland
31	281	95.55235129100	Lawson	Grassland
32	280	2.55215646195	Lawson	Grassland
33	282	10.13423126780	Lawson	Grassland
34	277	69.27183425050	Lawson	Grassland
34	281	74.79974870480	Lawson	Grassland
34	283	96.21979587080	Lawson	Grassland
35	280	16.81637833700	Lawson	Grassland
35	283	53.52123404850	Lawson	Grassland
36	281	21.36505308560	Lawson	Open Woodland
37	277	79.34638198890	Lawson	Open Woodland
37	279	95.44446007780	Lawson	Open Woodland
38	276	2.58096556043	Lawson	Grassland
38	282	88.95433739550	Lawson	Grassland
39	281	0.64433345373	Lawson	Grassland
39	282	31.47498769780	Lawson	Grassland
40	280	58.32462694530	Lawson	Open Woodland
40	283	9.07620103427	Lawson	Open Woodland
41	279	48.71832435390	Lawson	Woodland
42	280	81.26819941790	Lawson	Open Woodland
42	281	96.34432637070	Lawson	Open Woodland
42	283	23.24937503940	Lawson	Open Woodland
43	276	1.96330603957	Lawson	Grassland
43	282	66.02754912980	Lawson	Grassland
44	280	51.40195070570	Lawson	Grassland
44	283	54.20980469410	Lawson	Grassland
45	277	97.73585657310	Lawson	Woodland
45	279	19.33925158450	Lawson	Woodland
46	278	27.51289476730	Lawson	Woodland
47	278	94.30875705630	Lawson	Woodland
47	279	11.31007443430	Lawson	Woodland
48	280	14.34454669120	Lawson	Grassland
48	281	93.65998569600	Lawson	Grassland
48	283	52.41236254490	Lawson	Grassland
49	279	41.80394178640	Lawson	Grassland
50	279	98.12026802580	Lawson	Woodland
51	281	61.89708665090	Lawson	Grassland
52	281	71.83095293280	Lawson	Grassland
52	282	35.52467465840	Lawson	Grassland
53	276	77.87390696750	Lawson	Grassland
53	282	64.61939192850	Lawson	Grassland
54	281	20.94724991480	Lawson	Grassland
54	282	86.95691533460	Lawson	Grassland
55	280	60.04052931480	Lawson	Open Woodland
55	283	7.56459123593	Lawson	Open Woodland
56	281	95.16128437470	Lawson	Open Woodland
57	278	56.56109917290	Lawson	Grassland
58	281	25.37455604370	Lawson	Grassland
58	282	28.06940556240	Lawson	Grassland
59	278	60.11684909860	Lawson	Woodland
59	279	10.90678300220	Lawson	Woodland
60	276	55.80734648280	Lawson	Grassland
61	281	28.14228463910	Lawson	Open Woodland
62	276	54.25099401190	Lawson	Grassland
62	282	98.60662426750	Lawson	Grassland
63	278	92.27643183110	Lawson	Grassland
64	276	33.02084383530	Lawson	Grassland
64	277	70.71710307710	Lawson	Grassland
65	278	79.04015056140	Lawson	Grassland
66	281	5.16555708355	Lawson	Grassland
66	282	40.80463371680	Lawson	Grassland
67	281	62.04687253750	Lawson	Grassland
68	282	25.96605251090	Lawson	Grassland
69	281	40.88020504730	Lawson	Grassland
69	282	22.74509148430	Lawson	Grassland
70	276	94.77540869450	Lawson	Grassland
71	282	67.92721674720	Lawson	Grassland
72	281	49.16643649310	Lawson	Open Woodland
73	278	42.91564290420	Lawson	Grassland
74	282	34.60134451050	Lawson	Grassland
75	279	81.63023595150	Lawson	Open Woodland
76	281	63.11406220980	Lawson	Grassland
77	278	78.41363540360	Lawson	Grassland
78	281	74.29832533370	Lawson	Open Woodland
79	281	69.38540111690	Lawson	Grassland
80	280	71.96613447500	Lawson	Grassland
80	283	16.04504644720	Lawson	Grassland
81	276	75.44352154320	Lawson	Grassland
81	282	70.64855752770	Lawson	Grassland
82	281	42.95741208720	Lawson	Open Woodland
83	281	73.85213068560	Lawson	Grassland
83	282	41.57965350970	Lawson	Grassland
84	278	62.51708685410	Lawson	Grassland
85	280	81.62396145960	Lawson	Open Woodland
85	283	2.65514006744	Lawson	Open Woodland
86	278	91.12090133080	Lawson	Grassland
86	279	98.86140947770	Lawson	Grassland
87	281	78.51908890020	Lawson	Grassland
87	282	10.01737043620	Lawson	Grassland
88	279	23.76542836950	Lawson	Woodland
89	281	68.95773469600	Lawson	Open Woodland
90	282	96.74339384650	Lawson	Grassland
91	278	98.64325201940	Lawson	Grassland
92	280	99.68312266870	Lawson	Open Woodland
92	283	17.88985257410	Lawson	Open Woodland
93	279	15.78721476300	Lawson	Woodland
94	277	73.39968464980	Lawson	Woodland
94	279	49.88364211370	Lawson	Woodland
95	281	69.19110183090	Lawson	Grassland
96	276	69.85240011110	Lawson	Grassland
96	282	16.28209063080	Lawson	Grassland
97	280	77.76686710020	Lawson	Open Woodland
97	283	7.13972424880	Lawson	Open Woodland
98	282	51.43315861890	Lawson	Grassland
99	276	34.54355844300	Lawson	Grassland
99	282	62.77497218810	Lawson	Grassland
100	280	5.29070855093	Lawson	Grassland
101	281	78.54771286810	Lawson	Grassland
101	282	55.98611864440	Lawson	Grassland
102	280	68.57540475730	Lawson	Open Woodland
102	281	39.31333990430	Lawson	Open Woodland
102	283	30.07644404320	Lawson	Open Woodland
103	281	50.79185867880	Lawson	Open Woodland
103	283	89.78323902520	Lawson	Open Woodland
104	276	52.52931678030	Lawson	Grassland
104	277	60.93199534700	Lawson	Grassland
105	282	0.66064817084	Lawson	Grassland
106	278	76.03403355560	Lawson	Grassland
107	276	98.02908058470	Lawson	Grassland
107	277	60.14695339340	Lawson	Grassland
108	278	51.74105248270	Lawson	Grassland
109	278	82.32526267560	Lawson	Grassland
110	281	24.36218230410	Lawson	Open Woodland
110	283	73.07943014990	Lawson	Open Woodland
111	279	18.85061572240	Lawson	Woodland
112	281	42.97895743790	Lawson	Open Woodland
113	276	6.30935890386	Lawson	Grassland
113	282	89.52383716700	Lawson	Grassland
114	280	11.62157436540	Lawson	Grassland
114	283	85.01163113130	Lawson	Grassland
115	276	66.67813285810	Lawson	Grassland
115	282	61.83693698800	Lawson	Grassland
116	282	43.59935481500	Lawson	Grassland
117	276	44.11123401430	Lawson	Grassland
117	277	49.96549017370	Lawson	Grassland
118	281	53.07971581070	Lawson	Grassland
118	282	15.25765225360	Lawson	Grassland
119	282	34.48150955690	Lawson	Grassland
120	280	84.83617881630	Lawson	Grassland
120	283	55.50681183140	Lawson	Grassland
121	280	77.85258176800	Lawson	Open Woodland
121	283	2.10111203436	Lawson	Open Woodland
122	282	92.51251984290	Lawson	Grassland
123	281	48.53294664750	Lawson	Open Woodland
124	281	75.11214513030	Lawson	Open Woodland
125	281	93.00195584920	Lawson	Open Woodland
125	283	50.54063066940	Lawson	Open Woodland
126	276	82.69494117500	Lawson	Grassland
127	281	29.59745351190	Lawson	Open Woodland
128	278	12.12995020060	Lawson	Woodland
129	276	6.79305798654	Lawson	Grassland
130	279	18.65997478390	Lawson	Woodland
131	282	80.34723941790	Lawson	Grassland
132	278	49.50111488600	Lawson	Grassland
133	281	65.36465939160	Lawson	Grassland
134	282	40.08805745530	Lawson	Open Woodland
135	276	53.88412158140	Lawson	Grassland
136	278	10.45857628330	Lawson	Woodland
137	279	50.60563731870	Lawson	Grassland
138	279	12.03695391900	Lawson	Woodland
139	281	40.94702424440	Lawson	Grassland
140	279	65.02523837230	Lawson	Grassland
141	276	45.56369685750	Lawson	Grassland
141	277	39.31971373500	Lawson	Grassland
142	281	33.85614446450	Lawson	Open Woodland
143	280	39.59183738140	Lawson	Grassland
143	281	48.82596583390	Lawson	Grassland
143	283	1.15640649546	Lawson	Grassland
144	276	61.80961427110	Lawson	Grassland
