Stratum	Area	Transect	Length	Distance	group
Farrar	178.60	transect0	733.19	49.09	2
Farrar	178.60	transect0	733.19	43.79	2
Farrar	178.60	transect0	733.19	81.66	1
Farrar	178.60	transect0	733.19	87.48	4
Farrar	178.60	transect0	733.19	108.00	1
Farrar	178.60	transect0	733.19	73.94	2
Farrar	178.60	transect0	733.19	98.00	2
Farrar	178.60	transect0	733.19	135.00	3
Farrar	178.60	transect0	733.19	100.00	3
Farrar	178.60	transect0	733.19	116.00	3
Farrar	178.60	transect0	733.19	118.00	2
Farrar	178.60	transect0	733.19	124.00	6
Farrar	178.60	transect0	733.19	87.00	6
Farrar	178.60	transect0	733.19	105.00	6
Farrar	178.60	transect0	733.19	108.00	6
Farrar	178.60	transect0	733.19	39.94	1
Farrar	178.60	transect0	733.19	39.67	3
Farrar	178.60	transect0	733.19	41.48	1
Farrar	178.60	transect0	733.19	35.31	3
Farrar	178.60	transect0	733.19	15.29	4
Farrar	178.60	transect0	733.19	33.97	4
Farrar	178.60	transect0	733.19	37.49	1
Farrar	178.60	transect0	733.19	52.44	3
Farrar	178.60	transect0	733.19	126.00	3
Farrar	178.60	transect1	970.83	138.64	1
Farrar	178.60	transect1	970.83	146.99	1
Farrar	178.60	transect1	970.83	29.52	1
Farrar	178.60	transect1	970.83	28.57	1
Farrar	178.60	transect1	970.83	79.65	5
Farrar	178.60	transect1	970.83	70.45	2
Farrar	178.60	transect1	970.83	48.08	3
Farrar	178.60	transect1	970.83	36.96	2
Farrar	178.60	transect1	970.83	70.12	1
Farrar	178.60	transect1	970.83	68.25	1
Farrar	178.60	transect1	970.83	46.90	3
Farrar	178.60	transect1	970.83	58.70	3
Farrar	178.60	transect1	970.83	52.09	1
Farrar	178.60	transect1	970.83	45.55	4
Farrar	178.60	transect1	970.83	49.98	1
Farrar	178.60	transect1	970.83	122.37	2
Farrar	178.60	transect1	970.83	125.70	2
Farrar	178.60	transect1	970.83	127.92	5
Farrar	178.60	transect1	970.83	122.17	1
Farrar	178.60	transect1	970.83	117.92	1
Farrar	178.60	transect1	970.83	123.20	1
Farrar	178.60	transect1	970.83	6.33	2
Farrar	178.60	transect1	970.83	26.24	1
Farrar	178.60	transect1	970.83	26.19	1
Farrar	178.60	transect1	970.83	33.95	2
Farrar	178.60	transect1	970.83	54.85	1
Farrar	178.60	transect1	970.83	71.42	2
Farrar	178.60	transect1	970.83	60.61	2
Farrar	178.60	transect1	970.83	75.77	2
Farrar	178.60	transect1	970.83	73.53	1
Farrar	178.60	transect1	970.83	57.74	1
Farrar	178.60	transect1	970.83	73.53	1
Farrar	178.60	transect1	970.83	70.94	1
Farrar	178.60	transect1	970.83	84.37	1
Farrar	178.60	transect1	970.83	67.00	2
Farrar	178.60	transect1	970.83	80.29	1
Farrar	178.60	transect1	970.83	77.33	2
Farrar	178.60	transect1	970.83	80.36	2
Farrar	178.60	transect1	970.83	67.93	2
Farrar	178.60	transect1	970.83	75.26	1
Farrar	178.60	transect1	970.83	86.72	3
Farrar	178.60	transect1	970.83	95.29	1
Farrar	178.60	transect1	970.83	89.80	4
Farrar	178.60	transect1	970.83	91.37	1
Farrar	178.60	transect1	970.83	122.49	2
Farrar	178.60	transect1	970.83	128.92	1
Farrar	178.60	transect1	970.83	124.42	1
Farrar	178.60	transect1	970.83	123.76	1
Farrar	178.60	transect1	970.83	154.07	1
Farrar	178.60	transect1	970.83	164.86	2
Farrar	178.60	transect1	970.83	164.84	2
Farrar	178.60	transect1	970.83	8.89	1
Farrar	178.60	transect1	970.83	1.41	2
Farrar	178.60	transect1	970.83	155.53	5
Farrar	178.60	transect1	970.83	142.40	4
Farrar	178.60	transect1	970.83	142.16	1
Farrar	178.60	transect1	970.83	139.77	6
Farrar	178.60	transect1	970.83	137.19	3
Farrar	178.60	transect1	970.83	133.47	3
Farrar	178.60	transect1	970.83	99.55	1
Farrar	178.60	transect1	970.83	116.72	1
Farrar	178.60	transect1	970.83	118.66	1
Farrar	178.60	transect1	970.83	68.60	1
Farrar	178.60	transect1	970.83	59.93	1
Farrar	178.60	transect1	970.83	12.82	1
Farrar	178.60	transect1	970.83	14.05	1
Farrar	178.60	transect1	970.83	10.52	1
Farrar	178.60	transect1	970.83	15.55	1
Farrar	178.60	transect1	970.83	148.68	2
Farrar	178.60	transect10	394.54	77.80	2
Farrar	178.60	transect10	394.54	70.44	2
Farrar	178.60	transect10	394.54	72.23	1
Farrar	178.60	transect10	394.54	69.93	2
Farrar	178.60	transect12	2257.25	16.00	2
Farrar	178.60	transect12	2257.25	34.00	3
Farrar	178.60	transect12	2257.25	47.14	2
Farrar	178.60	transect12	2257.25	75.00	1
Farrar	178.60	transect12	2257.25	41.00	5
Farrar	178.60	transect12	2257.25	75.00	1
Farrar	178.60	transect12	2257.25	34.50	5
Farrar	178.60	transect12	2257.25	17.00	2
Farrar	178.60	transect12	2257.25	21.00	1
Farrar	178.60	transect12	2257.25	40.00	2
Farrar	178.60	transect12	2257.25	109.00	6
Farrar	178.60	transect12	2257.25	109.00	3
Farrar	178.60	transect12	2257.25	106.00	3
Farrar	178.60	transect12	2257.25	12.00	3
Farrar	178.60	transect12	2257.25	5.00	2
Farrar	178.60	transect12	2257.25	32.00	8
Farrar	178.60	transect12	2257.25	61.00	10
Farrar	178.60	transect12	2257.25	2.00	2
Farrar	178.60	transect12	2257.25	4.00	2
Farrar	178.60	transect12	2257.25	5.00	1
Farrar	178.60	transect12	2257.25	19.00	2
Farrar	178.60	transect12	2257.25	8.00	1
Farrar	178.60	transect12	2257.25	12.00	2
Farrar	178.60	transect12	2257.25	1.00	2
Farrar	178.60	transect12	2257.25	8.00	1
Farrar	178.60	transect12	2257.25	3.00	2
Farrar	178.60	transect12	2257.25	7.00	3
Farrar	178.60	transect12	2257.25	9.00	1
Farrar	178.60	transect12	2257.25	32.00	2
Farrar	178.60	transect12	2257.25	37.00	2
Farrar	178.60	transect12	2257.25	29.00	2
Farrar	178.60	transect12	2257.25	6.00	1
Farrar	178.60	transect12	2257.25	2.00	3
Farrar	178.60	transect12	2257.25	12.00	1
Farrar	178.60	transect12	2257.25	7.00	2
Farrar	178.60	transect12	2257.25	30.00	2
Farrar	178.60	transect12	2257.25	31.00	1
Farrar	178.60	transect12	2257.25	25.00	3
Farrar	178.60	transect12	2257.25	34.00	2
Farrar	178.60	transect14	719.77	17.14	4
Farrar	178.60	transect14	719.77	15.09	2
Farrar	178.60	transect14	719.77	15.12	1
Farrar	178.60	transect14	719.77	20.09	2
Farrar	178.60	transect14	719.77	46.14	1
Farrar	178.60	transect14	719.77	51.86	1
Farrar	178.60	transect14	719.77	63.18	3
Farrar	178.60	transect14	719.77	85.70	1
Farrar	178.60	transect14	719.77	56.55	3
Farrar	178.60	transect14	719.77	55.93	3
Farrar	178.60	transect14	719.77	44.61	2
Farrar	178.60	transect14	719.77	66.18	1
Farrar	178.60	transect14	719.77	43.47	2
Farrar	178.60	transect14	719.77	72.85	4
Farrar	178.60	transect14	719.77	64.73	1
Farrar	178.60	transect14	719.77	84.19	2
Farrar	178.60	transect14	719.77	123.00	2
Farrar	178.60	transect14	719.77	91.18	3
Farrar	178.60	transect14	719.77	86.11	2
Farrar	178.60	transect14	719.77	91.18	2
Farrar	178.60	transect14	719.77	98.41	5
Farrar	178.60	transect14	719.77	97.51	5
Farrar	178.60	transect14	719.77	97.86	2
Farrar	178.60	transect14	719.77	101.68	2
Farrar	178.60	transect14	719.77	71.90	2
Farrar	178.60	transect14	719.77	32.77	2
Farrar	178.60	transect14	719.77	86.55	2
Farrar	178.60	transect14	719.77	47.31	1
Farrar	178.60	transect14	719.77	13.54	1
Farrar	178.60	transect14	719.77	12.00	1
Farrar	178.60	transect14	719.77	133.00	3
Farrar	178.60	transect14	719.77	133.00	1
Farrar	178.60	transect15	460.61	16.44	1
Farrar	178.60	transect15	460.61	14.92	1
Farrar	178.60	transect15	460.61	10.78	1
Farrar	178.60	transect15	460.61	1.09	2
Farrar	178.60	transect15	460.61	2.32	3
Farrar	178.60	transect16	586.75	21.75	1
Farrar	178.60	transect16	586.75	25.76	1
Farrar	178.60	transect16	586.75	49.90	1
Farrar	178.60	transect16	586.75	32.86	1
